Njesia Administrative,Fshatrat
Njesia Administrative Nr.1,
Njesia Administrative Nr.2,
Njesia Administrative Nr.3,
Njesia Administrative Nr.4,
Njesia Administrative Nr.5,
Njesia Administrative Nr.6,
Njesia Administrative Nr.7,
Njesia Administrative Nr.8,
Njesia Administrative Nr.9,
Njesia Administrative Nr.10,
Njesia Administrative Nr.11,
Baldushk,Baldushk
Baldushk,Mumajes
Baldushk,Fushas
Baldushk,Balshaban
Baldushk,Shpate
Baldushk,Isufmucaj
Baldushk,Mustafakocaj
Baldushk,Kocaj
Baldushk,Kakunj
Baldushk,Veski
Baldushk,Parret
Baldushk,Shenkoll
Baldushk,Vrap
Baldushk,Shpat i siperm
Berzhite,Ibe
Berzhite,Berzhite
Berzhite,Dobresh
Berzhite,Ibe e Poshtme
Berzhite,Pellumbas
Berzhite,Mihajas
Berzhite,Cirme
Berzhite,Kus
Berzhite,Fravesh
Berzhite,Kllojke
Berzhite,Pashkashesh
Berzhite,Luge-Shalqize
Berzhite,Rozavere
Dajt,Linze
Dajt,Shishtufine
Dajt,Tujan
Dajt,Brar
Dajt,Ferraj
Dajt,Priske e Madhe
Dajt,Surrel
Dajt,Lanabreges
Dajt,Shkalle
Dajt,Qafmolle
Dajt,Darshen
Dajt,Selbe
Dajt,Murth
Farke,Farke e Madhe
Farke,Farke e Vogel
Farke,Lunder
Farke,Mjull Bathore
Farke,Sauk
Farke,Selite
Kashar,Kashar
Kashar,Yzberisht
Kashar,Mezez
Kashar,Yrshek
Kashar,Katundi i Ri
Kashar,Kus
Kashar,Mazrek
Krrabe,Krrabe
Krrabe,Mushqeta
Krrabe,Skutere
Ndroq,Ndroq
Ndroq,Zbarqe
Ndroq,Kercukje
Ndroq,Zhurje
Ndroq,Lagje e re
Ndroq,Pinet
Ndroq,Sauqet
Ndroq,Calaberzeze
Ndroq,Shesh
Ndroq,Grebllesh
Ndroq,Menik
Petrele,Petrele
Petrele,Mullet
Petrele,Stermas
Petrele,Picall
Petrele,Shenkoll
Petrele,Gurre e Madhe
Petrele,Gurre e Vogel
Petrele,Daias
Petrele,Barbas
Petrele,Fikas
Petrele,Mangull
Petrele,Qeha
Petrele,Shytaj
Petrele,Hekal
Petrele,Kryezi
Petrele,Percellesh
Petrele,Durishte
Peze,Peze e Madhe
Peze,Peze Helmes
Peze,Peze e Vogel
Peze,Varosh
Peze,Maknor
Peze,Dorez
Peze,Gror
Peze,Grece
Peze,Pajane
Peze,Gjysylkane
Shengjergj,Shengjergj
Shengjergj,Verri
Shengjergj,Ure
Shengjergj,Burimas
Shengjergj,Shengjin i madh
Shengjergj,Facesh
Shengjergj,Bize
Shengjergj,Fage
Shengjergj,Parpunje
Shengjergj,Vakumone
Shengjergj,Domje e Malit
Shengjergj,Derje
Vaqarr,Vaqarr
Vaqarr,Allgjate
Vaqarr,Arbane
Vaqarr,Bultice
Vaqarr,Damjan-Fortuzaj
Vaqarr,Gropaj
Vaqarr,Lalm
Vaqarr,Prush
Vaqarr,Vishaj
Vaqarr,Sharre
Zall-Bastar,Zall-Bastar
Zall-Bastar,Bastar i Mesem
Zall-Bastar,Bastar-Murriz
Zall-Bastar,Vilez
Zall-Bastar,Zall-Mner
Zall-Bastar,Mner i Siperm
Zall-Bastar,Bulcesh
Zall-Bastar,Zall Dajt
Zall-Bastar,Besh
Zall-Bastar,Dajt
Zall-Bastar,Shengjin i vogel
Zall-Bastar,Selite Mali
Zall-Herr,Zall-Herr
Zall-Herr,Dritas
Zall-Herr,cerkeze-Morine
Zall-Herr,Qinam
Zall-Herr,Kallmet
Zall-Herr,Herraj
Zall-Herr,Pinar
Zall-Herr,Priske e Vogel
Zall-Herr,Radhesh
